meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,S1,S2,S3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1242,9574,63,344.0,194.0,315.0,2024-07-28T13:22:23.707000+00:00,122.456,True,44.917,48.672,28.867,"[2064, 2064, 2048, 2048, 2048, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",11
1242,9574,63,337.0,201.0,314.0,2024-07-28T13:24:26.229000+00:00,109.872,False,30.73,49.781,29.361,"[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",12
1242,9574,63,330.0,202.0,315.0,2024-07-28T13:26:16.084000+00:00,108.702,False,30.791,48.868,29.043,"[None, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",13
1242,9574,63,333.0,203.0,,2024-07-28T13:28:04.744000+00:00,108.265,False,30.84,48.403,29.022,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2051, 2048, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",14
1242,9574,63,326.0,204.0,,2024-07-28T13:29:52.972000+00:00,108.315,False,30.9,48.4,29.015,"[None, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2051, 2049, 2051, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",15
1242,9574,63,328.0,204.0,317.0,2024-07-28T13:31:41.297000+00:00,108.606,False,30.885,48.68,29.041,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",16
1242,9574,63,335.0,204.0,313.0,2024-07-28T13:33:29.900000+00:00,108.46,False,30.833,48.575,29.052,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",17
1242,9574,63,,205.0,,2024-07-28T13:35:18.344000+00:00,108.556,False,30.944,48.483,29.129,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",18
1242,9574,63,333.0,203.0,315.0,2024-07-28T13:37:06.965000+00:00,108.499,False,30.951,48.379,29.169,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2051, 2049, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",19
1242,9574,63,338.0,203.0,314.0,2024-07-28T13:38:55.429000+00:00,109.605,False,31.005,49.248,29.352,"[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",20
